"KitType";"GE_GR_16s";"GE_GR_Akk_mun";"GE_GR_B_Frag";"GE_GR_C_Lept";"GE_GR_Copro";"GE_GR_Enterob_e";"GE_GR_Fus_nuc";"GE_GR_Lac_ceae";"GE_GR_Strept"
"Fast DNA Stool";617117,117117117;17837,8378378378;60,3603603603604;1274,77477477477;6846,84684684685;981,981981981982;68,4684684684685;51,8018018018018;1270,27027027027
"PowerFecal";82500000;139375;128,125;11375;361875;31812,5;158,75;45625;384375
"Fast DNA Stool";630630,630630631;6891,89189189189;9,45945945945946;8513,51351351351;1747,74774774775;950,45045045045;0,304954954954955;210,810810810811;1662,16216216216
"PowerFecal";68125000;47937,5;103,125;296250;155625;25750;0,57;1731,25;52000
"Fast DNA Stool";389639,63963964;144594,594594595;0,0599099099099099;918,918918918919;1418,91891891892;15,1351351351351;6,44144144144144;21,4414414414414;2090,09009009009
"PowerFecal";61625000;1093750;0,30875;20125;3e+05;446,875;0,86875;15750;1737500
"Fast DNA Stool";806306,306306306;635135,135135135;0;855,855855855856;2860,36036036036;5450,45045045045;1,23423423423423;65,3153153153153;2121,62162162162
"PowerFecal";78750000;4300000;0;36500;560000;393125;0,07625;95000;850000
"Fast DNA Stool";1828828,82882883;3855,85585585586;0;590,09009009009;17297,2972972973;2684,68468468468;0;27,6576576576577;3256,75675675676
"PowerFecal";75625000;35312,5;0;6437,5;687500;106875;0;1325;281875
"Fast DNA Stool";617117,117117117;13693,6936936937;0,0213963963963964;97,2972972972973;413,963963963964;62,1621621621622;0;85,5855855855856;4684,68468468468
"PowerFecal";49687500;126875;0;3512,5;93750;656,25;0,07625;23062,5;145000
"Fast DNA Stool";3882882,88288288;368018,018018018;225,675675675676;1081,08108108108;2684,68468468468;4864,86486486487;0,990990990990991;127,927927927928;4009,00900900901
"PowerFecal";78750000;2943750;737,5;20437,5;188750;176250;2,1;2937,5;39375
"Fast DNA Stool";345045,045045045;12432,4324324324;0;407,657657657658;1351,35135135135;7,97297297297297;0;210,810810810811;6801,8018018018
"PowerFecal";37437500;92500;0;14562,5;84375;34,5;0;50500;16937,5
"Fast DNA Stool";147747,747747748;11171,1711711712;0,0504504504504504;1486,48648648649;2522,52252252252;1828,82882882883;16,1261261261261;24,7297297297297;2369,36936936937
"PowerFecal";67500000;512500;0;66250;787500;73125;14,5;12375;2081250
"Fast DNA Stool";1608108,10810811;0;0,774774774774775;3243,24324324324;14549,5495495495;8423,42342342342;38,8288288288288;321,171171171171;2351,35135135135
"PowerFecal";71250000;0;3,00625;40312,5;448750;153750;132,5;85000;111250
"Fast DNA Stool";2049549,54954955;0;0;2171,17117117117;684,684684684685;228,378378378378;14,1441441441441;0,197297297297297;1950,45045045045
"PowerFecal";111250000;0;0;83125;160000;3393,75;15,5;132,5;637500
"Fast DNA Stool";1369369,36936937;4864,86486486487;0,81981981981982;693,693693693694;1608,10810810811;443,693693693694;0,932432432432432;218,468468468468;25990,990990991
"PowerFecal";68750000;27312,5;0,194375;5068,75;221250;5943,75;0;76875;8e+05
"Fast DNA Stool";141891,891891892;4328,82882882883;0,905405405405405;8063,06306306306;27,6126126126126;12387,3873873874;0;13,018018018018;2121,62162162162
"PowerFecal";3,5e+07;37062,5;5,125;196875;45625;328750;1,04375;7375;1156250
"Fast DNA Stool";281981,981981982;0;0,0352252252252252;13,963963963964;69,3693693693694;109,90990990991;0,223423423423423;20,9459459459459;954,954954954955
"PowerFecal";21437500;0;0,403125;504,375;12500;1300;0,355625;21875;2187500
"Fast DNA Stool";3049549,54954955;590090,09009009;13,2432432432432;308,108108108108;329,72972972973;19594,5945945946;0,504504504504504;459,459459459459;2337,83783783784
"PowerFecal";70625000;0;0;9187,5;4300;968750;0;1987,5;22187,5
"Fast DNA Stool";716216,216216216;0,135135135135135;0;495,495495495496;55,4054054054054;22927,9279279279;0,599099099099099;29,5495495495495;738,738738738739
"PowerFecal";76250000;0;0,23;6250;65625;86250;8,3125;19312,5;875000
"Fast DNA Stool";1004504,5045045;2067,56756756757;0,0222972972972973;231,081081081081;422,972972972973;15495,4954954955;0,693693693693694;7,02702702702703;128,378378378378
"PowerFecal";52750000;15687,5;0;2600;177500;43062,5;22,1875;2675;63750
"Fast DNA Stool";819819,81981982;7387,38738738739;10,1801801801802;312,162162162162;8468,46846846847;42162,1621621622;48,1981981981982;12,4774774774775;2382,88288288288
"PowerFecal";77500000;37812,5;27,25;6106,25;166875;1081250;1200;5818,75;190000
"Fast DNA Stool";2540540,54054054;162162,162162162;222,522522522523;399,54954954955;11891,8918918919;120270,27027027;227,477477477477;67,1171171171171;234,234234234234
"PowerFecal";84375000;4043750;449,375;6687,5;170000;1968750;208,75;40312,5;7375
"Fast DNA Stool";106306,306306306;0,327927927927928;102,702702702703;10,1801801801802;14,8198198198198;1855,85585585586;0,882882882882883;2,23423423423423;102,702702702703
"PowerFecal";24500000;14,9375;170,625;501,25;5293,75;30750;4,075;8000;131250
"Fast DNA Stool";316216,216216216;53,6036036036036;3,27027027027027;468,468468468468;205,855855855856;4729,72972972973;0;17,9279279279279;1990,99099099099
"PowerFecal";5e+07;750;14,6875;13125;45000;43937,5;0,63125;9687,5;8312500
"Fast DNA Stool";17882,8828828829;404,504504504504;0,842342342342342;143,243243243243;45,9459459459459;10,1801801801802;0;20,0900900900901;1153,15315315315
"PowerFecal";40875000;2400;0,53;5343,75;134375;22,875;0;19062,5;381875
"Fast DNA Stool";366666,666666667;0;0;71,1711711711712;77,027027027027;2099,0990990991;23,2882882882883;404,954954954955;11891,8918918919
"PowerFecal";6093750;0;1,8;3418,75;1618,75;183750;63,75;2012,5;165000
"Fast DNA Stool";1135135,13513514;393693,693693694;19,8648648648649;222,072072072072;250;20000;4,04954954954955;245,945945945946;1639,63963963964
"PowerFecal";44625000;2012500;57,8125;6193,75;241875;1168750;9,4375;94375;145000
"Fast DNA Stool";238288,288288288;0;0,0477477477477477;783,783783783784;3,05405405405405;49549,5495495495;3,78828828828829;24,5945945945946;2536,03603603604
"PowerFecal";5,8e+07;3881250;90,625;8875;202500;2225000;1,54375;90000;155000
"Fast DNA Stool";603603,603603604;393693,693693694;8,24324324324324;207,657657657658;151,801801801802;21261,2612612613;0,504504504504504;178,378378378378;2855,85585585586
"PowerFecal";63750000;1537500;42,75;4093,75;283750;3131250;35,375;65000;330000
"Fast DNA Stool";490990,990990991;995,495495495495;3968,46846846847;29,8648648648649;168,468468468468;123,423423423423;1986,48648648649;1,5;112,612612612613
"PowerFecal";3087500;3706,25;12125;572,5;3518,75;1856,25;11312,5;243,125;14750
"Fast DNA Stool";333783,783783784;6711,71171171171;1572,07207207207;41,3963963963964;41,2612612612613;941,441441441441;309,009009009009;1,67117117117117;160,36036036036
"PowerFecal";2887500;34375;2850;453,75;383,75;6687,5;1175;631,25;26562,5
"Fast DNA Stool";1261261,26126126;15270,2702702703;2166,66666666667;89,6396396396396;143,693693693694;1608,10810810811;878,378378378378;12,7927927927928;407,657657657658
"PowerFecal";7e+06;34625;4793,75;900;887,5;7312,5;3081,25;925;55687,5
"Fast DNA Stool";163513,513513514;151,351351351351;7,61261261261261;123,423423423423;689,189189189189;405,855855855856;48,6486486486486;4,63963963963964;1243,24324324324
"PowerFecal";78125000;800;35,375;7312,5;86250;24875;205,625;10812,5;150000
"Fast DNA Stool";518018,018018018;1527,02702702703;43,963963963964;213,513513513514;150,900900900901;2202,7027027027;0,563063063063063;39,5045045045045;17657,6576576577
"PowerFecal";64375000;12312,5;156,875;5068,75;72500;33187,5;8,875;25062,5;160625
"Fast DNA Stool";1171171,17117117;26216,2162162162;0;245,495495495496;282,882882882883;86,9369369369369;0;52,2522522522523;2873,87387387387
"PowerFecal";36187500;125625;0;4231,25;53500;1593,75;0;9875;662500
"Fast DNA Stool";169369,369369369;0,963963963963964;0,200900900900901;459,459459459459;184,234234234234;59,9099099099099;0;10,045045045045;1031,53153153153
"PowerFecal";63750000;0;0;3031,25;30937,5;541,25;1,8875;8562,5;2425000
"Fast DNA Stool";3882882,88288288;8018,01801801802;0;923,423423423423;5990,99099099099;1337,83783783784;0,0371171171171171;4,59459459459459;490,990990990991
"PowerFecal";90625000;65625;0;7437,5;345000;57000;0,153125;310;126250
"Fast DNA Stool";509009,009009009;9504,5045045045;0,905405405405405;3463,96396396396;752,252252252252;1081,08108108108;2,79279279279279;3,59009009009009;8333,33333333333
"PowerFecal";78125000;95625;0;117500;143750;39625;0,21625;30,625;578750
"Fast DNA Stool";545045,045045045;21846,8468468468;0;3373,87387387387;1013,51351351351;1022,52252252252;0,594594594594595;1,80630630630631;6711,71171171171
"PowerFecal";59187500;206875;0;141250;196875;30750;0,6625;18,9375;837500
"Fast DNA Stool";2441441,44144144;0;0;1121,62162162162;23963,963963964;101351,351351351;2,33333333333333;359,459459459459;1153,15315315315
"PowerFecal";7e+07;0;0;17625;285625;1056250;1,71875;343750;850000
"Fast DNA Stool";1770270,27027027;385585,585585586;0;207,657657657658;1040,54054054054;243243,243243243;45,9459459459459;14,5945945945946;10090,0900900901
"PowerFecal";38500000;1456250;0;20125;52437,5;2006250;400;818,75;336875
"Fast DNA Stool";1045045,04504505;30450,4504504505;113,513513513514;1265,76576576577;97,2972972972973;1513,51351351351;6,66666666666667;351,351351351351;5495,4954954955
"PowerFecal";78750000;332500;712,5;11437,5;241875;198125;5,91875;505000;3937500
"Fast DNA Stool";89189,1891891892;2243,24324324324;0;143,243243243243;340,990990990991;72,0720720720721;0,270720720720721;49,5495495495495;1459,45945945946
"PowerFecal";47062500;12312,5;0,0675;9500;163125;20687,5;0,3625;4931,25;1825000
"Fast DNA Stool";419369,369369369;16216,2162162162;4,59459459459459;101,351351351351;3171,17117117117;2954,95495495496;0;1,21171171171171;324,324324324324
"PowerFecal";11750000;258750;14,5;3218,75;180000;150000;0,44;762,5;16937,5
"Fast DNA Stool";169369,369369369;4157,65765765766;11,3513513513514;394,144144144144;1644,14414414414;52,7027027027027;0;262,612612612613;2522,52252252252
"PowerFecal";42812500;40437,5;27,25;4318,75;187500;599,375;0,115;5993,75;490000
"Fast DNA Stool";40135,1351351351;2,27477477477477;0,0927927927927928;454,954954954955;35,9459459459459;1036,03603603604;0;4,68468468468468;156,756756756757
"PowerFecal";15312500;19,4375;0,039375;1887,5;71250;25375;0;3081,25;101250
"Fast DNA Stool";58558,5585585586;0,495495495495495;0,0154954954954955;0;0,0431531531531532;31621,6216216216;7,38738738738739;15,6756756756757;146,396396396396
"PowerFecal";18250000;11,5625;1,31875;0;91,875;968750;52,375;11250;60500
"Fast DNA Stool";815315,315315315;0,418468468468468;0;855,855855855856;626,126126126126;100,900900900901;12,8828828828829;16,2162162162162;477,477477477477
"PowerFecal";27687500;3,325;0;4206,25;105625;71875;19,0625;3368,75;134375
"Fast DNA Stool";99549,5495495496;0;0,0103153153153153;18,2432432432432;68,018018018018;80,1801801801802;0,436936936936937;2,9009009009009;153,603603603604
"PowerFecal";7437500;0;0;146,875;12937,5;1606,25;1,075;173,125;39125
